"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"Q1,Q2,Q3","3","2SC1815","","","","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"Q4","1","2N2222A","","","","Package_TO_SOT_THT:TO-92_Inline","https://media.digikey.com/pdf/Data%20Sheets/Toshiba%20PDFs/2SC1815.pdf"
"R1","1","4.7k","","","","New_Library2:Resistor","~"
"R2","1","1k","","","","New_Library2:Resistor","~"
"R3,R4,R5","3","2.2k","","","","New_Library2:Resistor","~"
"R6","1","10k","","","","New_Library2:Resistor","~"
"U1","1","AI-Thinker Nodemcu-32S","","","","mcu-32s:ai-thinker nodemcu-32s",""
"U2","1","~","","","","mcu-32s:ai-thinker nodemcu-32s",""
"U3","1","DHT22","","","","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm","http://akizukidenshi.com/download/ds/aosong/DHT11.pdf"
"U4","1","DS18B20","","","","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
